Date;CaloriesBurned;Steps;Distance;Floors;MinutesSedentary;MinutesLightlyActive;MinutesFairlyActive;MinutesVeryActive;ActivityCalories;MinutesAsleep;MinutesAwake;NumberofAwakenings;TimeInBed
1/04/2015;2427;7035;5,14;27;710;252;0;0;996;451;22;11;478
2/04/2015;2238;6169;4,5;19;788;180;9;4;754;405;32;19;459
3/04/2015;2211;5852;4,27;14;931;176;0;0;681;312;5;4;333
4/04/2015;2323;5948;4,34;4;1215;225;0;0;865;0;0;0;0
5/04/2015;2060;3865;2,82;1;809;102;0;0;380;322;26;12;367
6/04/2015;2412;5469;3,99;8;656;195;4;18;898;497;41;19;539
7/04/2015;2811;10629;7,84;52;764;250;49;17;1425;355;14;8;388
8/04/2015;2128;4409;3,22;8;826;157;0;0;601;412;37;18;457
9/04/2015;2687;12415;10,41;15;762;131;3;61;1209;464;18;13;483
10/04/2015;3117;16477;12,03;20;808;76;21;62;994;458;14;10;473
11/04/2015;1995;3172;2,32;10;1309;131;0;0;471;0;0;0;0
12/04/2015;3117;18343;14,94;42;653;215;7;74;1721;440;44;22;491
13/04/2015;2378;8161;5,96;15;753;206;4;7;915;345;24;15;382
14/04/2015;2784;11039;8,29;19;796;256;3;31;1373;332;22;9;372
15/04/2015;2526;9210;6,72;9;713;208;26;16;1111;448;24;13;477
16/04/2015;2362;6839;4,99;13;855;213;10;1;900;329;23;13;361
17/04/2015;2442;7637;5,58;31;701;253;8;2;1045;442;32;16;476
18/04/2015;3040;18666;13,63;27;566;300;65;17;1759;454;35;19;492
19/04/2015;2403;7589;5,54;8;798;121;13;25;689;443;26;11;483
20/04/2015;2193;5537;4,04;19;1260;180;0;0;705;0;0;0;0
21/04/2015;2176;5382;3,93;12;824;165;6;1;672;403;40;18;444
22/04/2015;2727;7015;5,12;32;697;261;32;13;1293;394;43;21;437
23/04/2015;2603;7785;5,68;23;819;247;20;9;1143;310;35;17;345
24/04/2015;2231;5627;4,11;12;795;188;0;0;732;427;23;12;457
25/04/2015;2461;5405;3,95;5;695;277;0;0;1017;417;43;22;468
26/04/2015;2580;10617;7,75;18;644;203;31;44;1178;467;51;25;518
27/04/2015;2278;5439;3,97;34;779;200;0;0;792;433;22;12;461
28/04/2015;2574;8767;6,4;24;792;234;13;22;1163;351;28;16;379
29/04/2015;2909;11373;8,3;20;709;170;19;101;1552;386;35;18;427
30/04/2015;2346;6407;4,68;19;827;216;9;0;904;346;21;16;370
1/05/2015;2877;13292;9,7;38;575;275;42;38;1559;505;34;17;542
2/05/2015;2545;9574;6,99;19;1100;241;18;3;1104;24;31;6;78
3/05/2015;1675;502;0,37;2;959;17;0;0;66;409;51;25;464
4/05/2015;2312;6485;4,73;17;785;232;0;0;859;333;32;15;377
5/05/2015;2566;8083;5,9;23;811;276;0;0;1117;372;19;5;399
6/05/2015;2754;9988;7,29;64;716;263;7;34;1360;379;31;19;420
7/05/2015;2409;7541;5,5;25;756;226;19;4;987;402;32;17;435
8/05/2015;2845;11529;8,42;22;715;215;31;72;1511;359;40;18;407
9/05/2015;2647;8688;6,34;20;646;294;14;6;1290;446;32;13;480
10/05/2015;2855;15070;12,77;20;818;103;2;75;1289;391;49;30;442
11/05/2015;2319;6590;4,81;13;803;184;11;6;833;398;29;18;436
12/05/2015;2996;15384;12,48;18;764;126;31;89;1545;365;62;18;430
13/05/2015;2525;7061;5,15;15;821;238;9;5;1075;330;26;14;367
14/05/2015;3328;24918;18,19;265;594;228;103;79;2121;405;27;21;432
15/05/2015;3592;30859;22,53;129;417;291;101;82;2468;474;54;25;543
16/05/2015;3510;29951;21,86;42;468;203;138;106;2342;488;45;24;535
17/05/2015;3193;19461;15,44;68;794;221;21;85;1824;133;21;6;163
18/05/2015;2229;5347;3,93;7;836;212;0;0;777;377;11;8;402
19/05/2015;2452;7236;5,28;21;682;221;28;1;1046;428;24;17;465
20/05/2015;2601;9280;6,77;48;773;239;25;8;1179;381;50;26;438
21/05/2015;2324;6073;4,43;17;809;249;0;0;879;361;20;14;382
22/05/2015;3463;19982;14,59;139;631;375;44;43;2189;300;14;4;319
23/05/2015;2127;3785;2,76;7;650;169;0;0;612;625;22;13;649
24/05/2015;3085;16815;13,52;22;693;224;7;88;1700;395;31;16;428
25/05/2015;2829;11608;8,47;17;653;262;31;31;1487;435;24;18;463
26/05/2015;2738;9789;7,17;15;690;230;27;32;1342;424;30;19;461
27/05/2015;2221;6204;4,53;22;727;210;0;0;788;461;36;26;503
28/05/2015;2598;8591;6,27;35;727;270;20;2;1211;310;37;13;349
29/05/2015;2674;10256;7,49;41;709;337;0;0;1333;370;25;10;395
30/05/2015;2194;5511;4,02;14;745;192;0;0;718;471;29;15;503
31/05/2015;2252;5537;4,04;19;677;242;0;0;855;497;21;15;521
1/06/2015;2748;8480;6,19;24;735;250;62;11;1406;325;31;13;369
2/06/2015;2487;8860;6,49;31;739;202;17;15;1038;460;20;13;480
3/06/2015;2181;4555;3,35;12;833;175;0;0;673;393;36;22;432
4/06/2015;2250;6777;4,95;21;834;203;0;0;782;376;20;15;403
5/06/2015;2247;5966;4,36;14;1233;207;0;0;784;0;0;0;0
6/06/2015;2359;4397;3,21;9;716;225;0;0;889;430;66;29;499
7/06/2015;2619;12687;10,23;10;713;111;16;71;1161;475;45;22;523
8/06/2015;2280;5774;4,22;11;809;214;0;0;811;364;34;20;401
9/06/2015;2469;7595;5,54;32;770;230;16;5;1049;358;15;10;375
10/06/2015;2280;6940;5,07;72;734;196;0;0;822;445;25;15;470
11/06/2015;2510;7931;5,79;22;852;238;12;0;1065;337;27;10;378
12/06/2015;2956;15877;13,16;10;774;146;15;85;1493;370;43;19;420
13/06/2015;2320;6760;4,93;15;756;199;7;14;886;415;43;17;464
14/06/2015;3216;17694;14,26;19;688;267;14;81;1907;329;22;13;357
15/06/2015;2380;6415;4,68;12;677;245;9;0;951;499;43;16;542
16/06/2015;2689;9124;6,66;28;827;258;33;4;1293;284;31;10;318
17/06/2015;2527;11216;8,19;21;721;216;37;12;1159;433;21;12;454
18/06/2015;2487;6642;4,85;18;848;242;12;7;1056;300;20;9;331
19/06/2015;2657;9096;6,64;23;662;336;0;0;1324;406;35;14;442
20/06/2015;2876;12052;8,8;19;562;375;11;7;1588;415;69;25;485
21/06/2015;3156;18226;14,37;22;652;283;20;82;1908;293;33;16;331
22/06/2015;2444;7839;5,72;24;1085;266;0;0;1025;78;7;3;85
23/06/2015;2990;11256;8,22;32;689;302;69;6;1694;324;13;5;342
24/06/2015;2024;3400;2,48;22;792;150;0;0;513;477;22;14;518
25/06/2015;2827;13082;9,55;27;717;242;62;9;1472;389;18;10;411
26/06/2015;2345;5735;4,19;12;701;227;7;3;888;440;71;31;517
27/06/2015;2294;5907;4,31;20;794;174;18;7;800;334;37;13;380
28/06/2015;1889;2592;1,89;4;690;99;0;0;354;480;85;37;569
29/06/2015;2895;14054;11,04;24;695;232;5;58;1512;392;26;14;423
30/06/2015;2946;9425;6,88;29;742;292;30;29;1580;331;42;19;373
1/07/2015;2432;7092;5,18;17;726;256;0;0;1005;419;47;18;468
2/07/2015;2444;6735;4,92;26;692;192;32;18;1002;457;31;17;494
3/07/2015;2535;5733;4,19;9;860;222;24;20;1097;154;14;8;169
4/07/2015;2169;3038;2,22;10;879;132;28;4;696;354;34;17;397
5/07/2015;2965;14210;10,37;23;542;253;60;50;1677;472;61;29;535
6/07/2015;3197;16042;11,74;42;534;382;30;47;2005;401;44;17;447
7/07/2015;2341;6723;4,91;24;753;264;0;0;958;384;32;16;423
8/07/2015;2094;3956;2,89;9;802;181;0;0;615;347;26;10;373
9/07/2015;1918;1790;1,31;4;825;110;0;0;370;265;18;12;295
10/07/2015;1687;430;0,31;2;905;28;0;0;92;483;58;31;541
11/07/2015;3254;7212;5,26;11;577;175;47;91;1893;492;47;24;550
12/07/2015;1964;2241;1,64;12;826;93;10;0;399;449;59;24;511
13/07/2015;4016;32895;24,01;54;849;346;154;91;2983;0;0;0;0
14/07/2015;2834;13062;9,74;113;740;284;20;28;1531;331;32;14;368
15/07/2015;1693;627;0,46;3;924;34;0;0;107;446;20;10;482
16/07/2015;1994;3385;2,47;4;851;143;0;0;499;405;39;19;446
17/07/2015;3244;20236;14,77;34;567;294;72;62;2021;424;18;11;445
18/07/2015;3353;18737;13,68;24;654;426;48;34;2180;245;31;9;278
19/07/2015;2315;7080;5,17;18;766;243;0;0;907;264;42;16;308
20/07/2015;2905;15945;11,64;14;721;156;33;88;1557;406;35;21;442
21/07/2015;2660;10782;7,87;8;803;284;14;24;1278;232;18;14;252
22/07/2015;2568;10504;7,73;21;757;268;14;5;1182;367;23;13;396
23/07/2015;2709;10599;7,74;22;759;236;39;22;1329;350;30;10;384
24/07/2015;2175;8727;6,4;8;1081;33;0;0;140;307;17;9;326
25/07/2015;2762;15251;11,17;24;1132;228;29;51;1446;0;0;0;0
26/07/2015;2477;9766;7,15;10;662;264;3;10;1090;478;17;14;501
27/07/2015;2760;11086;8,09;29;751;270;36;12;1407;327;40;9;371
28/07/2015;2693;14423;10,53;18;774;212;26;42;1331;371;5;5;386
29/07/2015;2530;9695;7,08;34;798;267;7;4;1150;336;24;11;364
30/07/2015;2831;14067;10,29;37;700;195;42;57;1464;431;13;12;446
31/07/2015;2704;12853;9,38;24;652;233;45;29;1325;443;35;18;481
